STAT,mean,stddev,min,max,median
mean,0.9162022471427916,0.0,0.9162022471427916,0.9162022471427916,0.9162022471427916
variance,140.38836669921875,0.0,140.38836669921875,140.38836669921875,140.38836669921875
median,0.0,0.0,0.0,0.0,0.0
min,-156.520263671875,0.0,-156.520263671875,-156.520263671875,-156.520263671875
max,138.8975830078125,0.0,138.8975830078125,138.8975830078125,138.8975830078125
stddev,11.848559379577637,0.0,11.848559379577637,11.848559379577637,11.848559379577637
RMS,11.883925437927246,0.0,11.883925437927246,11.883925437927246,11.883925437927246
L2,14554.26953125,0.0,14554.26953125,14554.26953125,14554.26953125
