STAT,mean,stddev,min,max,median
mean,-0.0022064195480197705,0.008738072601155932,-0.0193676091730594,0.0091217933222651,-0.00067958736326545
variance,0.1080059284344315,0.08198498429931497,0.0197927635163068,0.2771142721176147,0.0822140425443649
median,0.0,0.0,0.0,0.0,0.0
min,-8.4879638671875,3.909611949876907,-15.98486328125,-4.421875,-7.2403564453125
max,9.70469970703125,3.2992974368757864,5.451171875,14.603515625,10.3111572265625
stddev,0.3078534588217735,0.12125354060549938,0.1406867653131485,0.5264164805412292,0.28511688113212585
RMS,0.30795086473226546,0.12131551113906118,0.1408226490020752,0.5267724394798279,0.2852228879928589
L2,377.15020446777345,148.5757337266519,172.46994018554688,645.1448364257812,349.3204040527344
